sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
4,-2.29501332831435,0.2999999730163,0.333,323.738738738739,476.2,444.25,384,276.75,0.602,109.148,432.5,274.5,2,1
4.25,-2.41610507208281,0.299999908360468,0.353,317.560906515581,469,431.25,375,257,0.617,113.43,425,298,2,1
4.5,-2.53811362930175,0.299999907211,0.372,320.52688172043,474.3,434.5,382.5,267,0.608,120.519,431,331,3,1
4.75,-2.66092135027484,0.300000080490184,0.333,308.984984984985,469,422,373,233.25,0.573,104.16,412.5,232.5,2,1
5,-2.78443544016408,0.300000080514089,0.338,309.10650887574,465,426,370,229,0.585,105.813,416,255.5,2,1
5.25,-2.90857076865722,0.300000066513082,0.319,321.717868338558,456,426,381,284.5,0.585,104.005,410,234.5,2,1
5.5,-3.03325841642495,0.29999992896899,0.356,307.803370786517,460.9,421,359,264.5,0.597,110.828,415.5,294.5,2,1
5.75,-3.1584315725519,0.300000035080376,0.347,312.913544668588,452.8,414.75,363,290.25,0.581,109.884,411,306.5,2,1
6,-3.28404510799207,0.299999957500414,0.35,304.54,452.5,414,377,243,0.59,107.95,407,276.5,3,1
6.25,-3.41004762271001,0.300000041959335,0.326,294.254601226994,452.9,408,356,170,0.589,97.287,398,122,2,1
6.5,-3.53640406434544,0.300000046351324,0.352,304.860795454545,449,414,360,226.5,0.624,108.674,406,282.5,3,1
6.75,-3.66308097489039,0.299999930965875,0.302,298.023178807947,453,420,365,169,0.564,91.409,406,30,2,1
7,-3.79004135906055,0.300000035584507,0.342,296.301169590643,444.3,407,352,252,0.593,102.662,400.5,269.5,2,1
7.25,-3.9172657510853,0.3000000085296,0.321,287.370716510903,446.2,414.25,349,100.25,0.602,93.662,397.5,54,2,1
7.5,-4.04472605925944,0.300000071042549,0.335,297.005970149254,453,413,356,210.75,0.573,100.791,403.5,219.5,2,1
