sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
5.75,-7.72249954269305,0.0999999754796713,0.45,645.068888888889,726,705,678,644,0.623,291.247,708,669.5,4,1
6,-8.02907362889679,0.100000059291218,0.466,645.167381974249,717.8,700,677,644,0.643,301.609,702.5,674,5,1
6.25,-8.3366653862942,0.0999999047603115,0.448,655.035714285714,722.4,703.5,676,650.5,0.645,294.495,706,670.5,4,1
6.5,-8.64515213280936,0.100000019531546,0.468,644.527777777778,718,699,672,646,0.648,302.601,702,669.5,5,1
6.75,-8.95445851336831,0.0999999935296555,0.438,646.022831050228,724.7,700,674,642,0.63,284.049,703,666,4,1
7,-9.26449486081405,0.100000096466507,0.47,641.231914893617,718,700,675,646,0.668,302.374,704.5,671.5,5,1
7.25,-9.5752085654141,0.0999999217121983,0.46,640.708695652174,716.5,695,671.5,637.5,0.647,295.723,697.5,667,5,1
7.5,-9.88651655994502,0.0999999951918853,0.468,629.269230769231,721,698,672.5,642,0.648,295.468,703,668,5,1
7.75,-10.198378443316,0.0999999951438309,0.452,641.537610619469,720,697.5,672,636,0.657,290.996,703,666,4,1
8,-10.5107394799477,0.100000075668575,0.48,641.077083333333,716,699,671,641,0.666,308.698,702.5,668.5,7,1
8.25,-10.8235675568545,0.100000013190989,0.465,637.815053763441,719,700,676,643.75,0.661,297.567,704.5,670.5,5,1
8.5,-11.1368130390774,0.1000000557631,0.458,645.386462882096,713.7,692,668,642,0.641,296.585,695,664,5,1
8.75,-11.4504488447865,0.100000059972696,0.5,648.21,715,696,667,638,0.684,325.011,702,667,10,1
9,-11.76444685451,0.0999999842772988,0.469,629.038379530917,713,692.25,671,639,0.657,295.992,697,668,5,1
9.25,-12.078775712189,0.0999999086959716,0.442,642.692307692308,716.3,695,668,640,0.63,285.09,698,662.5,4,1
9.5,-12.3934017754009,0.099999995439423,0.459,636.488017429194,717,696,669,642,0.643,293.119,700,665,4,1
9.75,-12.7083128821476,0.100000052521451,0.444,643.432432432432,714,693,670,644,0.671,286.815,696,665,4,1
10,-13.0234957238063,0.0999999625153695,0.449,625.817371937639,709,692,665,633.75,0.638,282.007,695,659,4,1
10.25,-13.3389153130176,0.100000015926582,0.436,640.93119266055,713,690,667,639.5,0.637,280.454,693,660.5,3,1
10.5,-13.6545655936296,0.100000027161374,0.468,641.737179487179,716.7,693,668,638.5,0.642,301.323,699.5,665,6,1
10.75,-13.9704257599252,0.100000088525077,0.458,630.855895196507,715,691,665.5,633,0.631,289.9,697,660,4,1
11,-14.2864917996302,0.100000040519273,0.478,619.378661087866,713,691,665,632,0.633,296.927,695,662,5,1
11.25,-14.6027402487963,0.100000055164232,0.481,644.997920997921,716,693.25,668,637.75,0.652,311.214,699,666,6.5,1
11.5,-14.9191658798836,0.100000030938299,0.453,630.390728476821,709,687,667,633,0.633,286.508,690,661,4,1
11.75,-15.2357588445951,0.0999999569930232,0.468,635.777777777778,710,689,665,637,0.646,298.504,693,663,5,1
12,-15.552495609833,0.10000003364665,0.461,632.613882863341,713,691.25,661,630,0.665,292.705,696,655,5,1
12.25,-15.8693850386703,0.0999999970783778,0.436,634.369266055046,712,689,665,636.5,0.648,277.673,692,657,4,1
12.5,-16.1864118849134,0.099999948833539,0.468,621.948717948718,710,690,664,632.5,0.66,292.078,694,661,5,1
12.75,-16.5035649562492,0.0999999360651881,0.448,645.379464285714,713.7,690,663,635,0.66,290.202,694,658,4.5,1
13,-16.8208396916493,0.0999999214139011,0.45,640.171111111111,708.5,688,665,634,0.635,289.086,690,659.5,4,1
13.25,-17.1382256458169,0.099999954385383,0.452,635.524336283186,709.3,691,666,633,0.645,288.307,694.5,660,5,1
13.5,-17.4557113804691,0.100000099834865,0.477,622.668763102725,707.8,686,660,627,0.658,297.956,692,657,5,1
13.75,-17.7733187312966,0.100000002449329,0.448,631.645089285714,711.7,689,666,638,0.66,284.028,692,659,4,1
14,-18.0910222438582,0.0999999247277561,0.447,637.854586129754,712.8,690,666,637,0.626,286.11,693,658.5,4,1
14.25,-18.4088104076332,0.0999999451564097,0.465,638.632258064516,711,686.25,663,633.75,0.662,297.941,691.5,660,5,1
14.5,-18.7266848504908,0.0999999831211762,0.462,630.833333333333,709.3,690,666.5,637,0.672,292.497,694,663,5,1
14.75,-19.0446427939667,0.100000019053791,0.453,630.644591611479,710,687,659,630.75,0.643,286.674,691,653,4,1
15,-19.362679471552,0.10000006104554,0.458,638.897379912664,712.7,692,672,637,0.638,293.549,696,665.5,4,1
15.25,-19.6807974178924,0.10000003620193,0.487,644.850102669404,707,688,663,634.25,0.644,314.912,692.5,662,6.5,1
15.5,-19.9989821401002,0.100000070455839,0.476,638.088235294118,711.9,690,662,633,0.653,304.681,696.5,660,5,1
15.75,-20.3172475496476,0.0999999698708307,0.46,638.221739130435,705,686.5,663,635,0.649,294.565,691,658,4,1
16,-20.6355577600231,0.100000097458247,0.429,627.004662004662,705,684,658,627,0.648,270.095,687.5,649,4,1
16.25,-20.9539488282478,0.100000023996434,0.467,632.385438972163,709,689,662,636,0.661,296.345,694,657.5,5,1
16.5,-21.272391282723,0.100000040637646,0.479,624.442588726514,703.6,685.75,660,632,0.678,300.137,690,658,6,1
16.75,-21.5908954195161,0.100000008797846,0.479,626.55114822547,709.6,688,659,631,0.663,301.095,692,657,6,1
17,-21.9094559455179,0.0999999595310533,0.488,637.05737704918,709,692,665,638,0.684,311.798,696,664,6,1
17.25,-22.2280518165685,0.100000082906034,0.481,632.952182952183,710,689,664,637,0.67,305.401,694,662,6,1
17.5,-22.5467086820513,0.100000093766721,0.471,627.876857749469,707.4,689,661,626,0.652,296.728,694,658,5,1
17.75,-22.8654220149735,0.100000020872096,0.481,618.357588357588,708,687,656,622,0.659,298.384,691,653,6,1
18,-23.1841844365226,0.099999920166657,0.465,636.389247311828,705,687,660,631,0.656,296.904,690,658,5,1
18.25,-23.5029809692677,0.0999999182877386,0.468,635.557692307692,710.7,686,660,630,0.638,298.346,691.5,657,5,1
18.5,-23.821811565324,0.0999999950702743,0.453,637.684326710817,708.2,687,662,634.75,0.648,289.887,690,656,4,1
18.75,-24.1406900874605,0.100000002672464,0.447,628.608501118568,706,685.75,659,633,0.648,282.032,687,654,4,1
19,-24.4596165476943,0.0999999291173697,0.467,608.832976445396,704.8,683,656,626,0.65,285.35,687,651,5.5,1
19.25,-24.7785649137139,0.100000000181061,0.48,624.195833333333,701,684.5,656,628,0.657,300.55,688,653,6,1
19.5,-25.097563750185,0.0999999415700236,0.485,628.630927835052,708,688.25,659,630,0.672,305.918,693,657.5,8,1
19.75,-25.4165852559759,0.0999999921730935,0.461,628.891540130152,707.2,685,658,630.75,0.659,290.933,690,653,5,1
20,-25.7356339860014,0.100000096847166,0.458,619.508733624454,706,685,657.5,627,0.633,284.71,688,652,5,1
