x_logit_normal,pdf_logit_normal_mu_-1,pdf_logit_normal_mu_0,pdf_logit_normal_mu_1
0.323,0.904523023342355,0.851843667641392,0.624779185360593
0.324,0.902794691106232,0.851187790304541,0.625011709227392
0.325,0.901075958167369,0.850536801400148,0.625246395017793
0.326,0.89936675402494,0.849890677623008,0.625483245805483
0.327,0.897667008910835,0.849249395907972,0.625722264694932
0.328,0.895976653780223,0.848612933427547,0.625963454821821
0.329,0.894295620302272,0.847981267589528,0.626206819353467
0.33,0.892623840851017,0.847354376034657,0.626452361489248
0.331,0.890961248496358,0.84673223663432,0.626700084461016
0.332,0.889307776995208,0.846114827488272,0.626949991533506
0.333,0.887663360782776,0.845502126922395,0.627202086004746
0.334,0.886027934963981,0.844894113486489,0.627456371206455
0.335,0.884401435305002,0.84429076595209,0.627712850504447
0.336,0.882783798224955,0.843692063310317,0.627971527299022
0.337,0.8811749607877,0.843097984769756,0.628232405025353
0.338,0.879574860693772,0.842508509754363,0.628495487153881
0.339,0.877983436272432,0.841923617901405,0.628760777190692
0.34,0.876400626473847,0.841343289059422,0.629028278677897
0.341,0.874826370861376,0.840767503286222,0.629297995194013
0.342,0.873260609603986,0.840196240846901,0.629569930354335
0.343,0.871703283468772,0.839629482211889,0.629844087811305
0.344,0.870154333813597,0.839067208055028,0.630120471254884
0.345,0.868613702579833,0.83850939925167,0.630399084412914
0.346,0.867081332285224,0.837956036876806,0.630679931051483
0.347,0.86555716601684,0.837407102203213,0.630963014975286
0.348,0.864041147424152,0.836862576699642,0.631248340027984
0.349,0.862533220712195,0.83632244202901,0.63153591009256
0.35,0.86103333063484,0.835786680046633,0.631825729091671
0.351,0.859541422488169,0.835255272798475,0.632117800988007
0.352,0.858057442103937,0.834728202519427,0.632412129784636
0.353,0.856581335843137,0.8342054516316,0.632708719525355
0.354,0.855113050589662,0.833687002742652,0.633007574295042
0.355,0.853652533744052,0.833172838644131,0.633308698219995
0.356,0.852199733217337,0.832662942309843,0.633612095468284
0.357,0.850754597424969,0.832157296894242,0.633917770250093
0.358,0.849317075280842,0.831655885730841,0.634225726818061
0.359,0.847887116191398,0.831158692330647,0.634535969467625
0.36,0.846464670049818,0.830665700380614,0.634848502537364
0.361,0.845049687230299,0.830176893742122,0.635163330409335
0.362,0.843642118582409,0.829692256449472,0.635480457509418
0.363,0.842241915425525,0.829211772708403,0.635799888307649
0.364,0.840849029543355,0.82873542689463,0.636121627318563
0.365,0.839463413178529,0.828263203552404,0.636445679101531
0.366,0.838085019027274,0.827795087393087,0.636772048261101
0.367,0.836713800234163,0.827331063293749,0.637100739447328
0.368,0.83534971038694,0.826871116295786,0.637431757356122
0.369,0.83399270351141,0.826415231603553,0.637765106729578
0.37,0.832642734066412,0.825963394583021,0.638100792356317
0.371,0.83129975693886,0.825515590760447,0.638438819071823
0.372,0.829963727438843,0.825071805821062,0.638779191758782
0.373,0.82863460129481,0.824632025607787,0.639121915347421
0.374,0.827312334648811,0.824196236119954,0.639466994815844
0.375,0.825996884051808,0.823764423512048,0.639814435190374
0.376,0.824688206459049,0.823336574092477,0.640164241545893
0.377,0.82338625922551,0.82291267432234,0.64051641900618
0.378,0.822091000101398,0.822492710814231,0.640870972744256
0.379,0.820802387227715,0.822076670331044,0.641227907982723
0.38,0.819520379131883,0.821664539784806,0.641587229994107
0.381,0.818244934723432,0.821256306235523,0.641948944101204
0.382,0.816976013289743,0.820851956890034,0.642313055677423
0.383,0.815713574491856,0.820451479100894,0.642679570147132
0.384,0.814457578360325,0.820054860365264,0.643048492986006
0.385,0.813207985291138,0.81966208832382,0.643419829721374
0.386,0.81196475604169,0.819273150759673,0.643793585932572
0.387,0.810727851726808,0.818888035597312,0.644169767251286
0.388,0.809497233814833,0.818506730901553,0.644548379361916
0.389,0.808272864123755,0.818129224876507,0.644929428001918
0.39,0.807054704817395,0.817755505864567,0.645312918962167
0.391,0.805842718401647,0.817385562345399,0.645698858087313
0.392,0.804636867720759,0.817019382934957,0.646087251276138
0.393,0.803437115953677,0.816656956384507,0.646478104481917
0.394,0.802243426610425,0.816298271579665,0.64687142371278
0.395,0.801055763528541,0.81594331753945,0.647267215032078
0.396,0.799874090869562,0.815592083415353,0.647665484558748
0.397,0.798698373115545,0.815244558490414,0.648066238467682
0.398,0.797528575065645,0.814900732178313,0.648469482990094
0.399,0.796364661832736,0.814560594022482,0.648875224413899
0.4,0.795206598840069,0.814224133695219,0.649283469084082
0.401,0.794054351817985,0.813891340996822,0.649694223403077
0.402,0.792907886800662,0.813562205854733,0.650107493831147
0.403,0.791767170122911,0.813236718322695,0.650523286886765
0.404,0.790632168417006,0.812914868579922,0.650941609146998
0.405,0.789502848609568,0.812596646930279,0.651362467247894
0.406,0.788379177918473,0.81228204380148,0.651785867884873
0.407,0.787261123849817,0.811971049744289,0.652211817813116
0.408,0.786148654194906,0.811663655431738,0.652640323847962
0.409,0.785041737027295,0.811359851658362,0.653071392865305
0.41,0.783940340699858,0.811059629339434,0.653505031801994
0.411,0.782844433841901,0.810762979510218,0.653941247656236
0.412,0.78175398535631,0.810469893325237,0.654380047488003
0.413,0.780668964416736,0.810180362057545,0.654821438419441
0.414,0.779589340464813,0.809894377098013,0.655265427635284
0.415,0.778515083207415,0.809611929954628,0.655712022383265
0.416,0.777446162613949,0.8093330122518,0.656161229974539
0.417,0.776382548913678,0.80905761572968,0.656613057784104
0.418,0.775324212593078,0.808785732243493,0.657067513251224
0.419,0.774271124393238,0.808517353762874,0.657524603879863
0.42,0.773223255307279,0.808252472371222,0.657984337239109
0.421,0.772180576577812,0.807991080265059,0.658446720963618
0.422,0.771143059694434,0.807733169753404,0.658911762754049
0.423,0.770110676391241,0.807478733257151,0.659379470377507
0.424,0.769083398644388,0.807227763308461,0.65984985166799
0.425,0.768061198669668,0.806980252550169,0.66032291452684
0.426,0.767044048920125,0.806736193735188,0.660798666923197
0.427,0.766031922083701,0.806495579725933,0.661277116894456
0.428,0.765024791080903,0.806258403493755,0.66175827254673
0.429,0.764022629062508,0.806024658118378,0.662242142055317
0.43,0.763025409407289,0.805794336787349,0.662728733665168
0.431,0.762033105719779,0.805567432795501,0.663218055691364
0.432,0.761045691828048,0.805343939544417,0.66371011651959
0.433,0.760063141781523,0.805123850541913,0.664204924606623
0.434,0.759085429848822,0.804907159401521,0.664702488480817
0.435,0.758112530515622,0.80469385984199,0.665202816742593
0.436,0.757144418482553,0.804483945686787,0.665705918064937
0.437,0.756181068663112,0.804277410863615,0.666211801193899
0.438,0.755222456181609,0.804074249403935,0.6667204749491
0.439,0.754268556371134,0.803874455442497,0.66723194822424
0.44,0.75331934477155,0.803678023216885,0.667746229987614
0.441,0.752374797127509,0.803484947067061,0.66826332928263
0.442,0.751434889386495,0.803295221434928,0.668783255228334
0.443,0.750499597696891,0.803108840863894,0.669306017019939
0.444,0.74956889840606,0.802925799998448,0.669831623929358
0.445,0.748642768058462,0.802746093583746,0.670360085305745
0.446,0.747721183393787,0.802569716465199,0.67089141057604
0.447,0.746804121345109,0.802396663588077,0.671425609245516
0.448,0.745891559037067,0.802226929997113,0.671962690898335
0.449,0.744983473784064,0.802060510836126,0.672502665198108
0.45,0.744079843088485,0.801897401347641,0.673045541888462
0.451,0.743180644638947,0.801737596872523,0.67359133079361
0.452,0.742285856308554,0.80158109284962,0.674140041818928
0.453,0.741395456153188,0.801427884815409,0.674691684951537
0.454,0.74050942240981,0.801277968403654,0.675246270260893
0.455,0.739627733494785,0.801131339345072,0.675803807899378
0.456,0.738750368002225,0.800987993467001,0.676364308102902
0.457,0.737877304702356,0.800847926693088,0.676927781191508
0.458,0.737008522539897,0.800711135042966,0.677494237569985
0.459,0.736144000632463,0.800577614631962,0.678063687728485
0.46,0.735283718268989,0.80044736167079,0.678636142243146
0.461,0.734427654908162,0.800320372465265,0.679211611776725
