sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
5,9.5805808453541e-07,0.500000071993854,0.18,50.0055555555556,124,76.5,26.5,15,0.494,10.638,23.5,5,1,1
5.25,-8.85092209662898e-08,0.499999993632932,0.169,47.3136094674556,118.2,69.25,30,16,0.486,9.701,24,5,1,1
5.5,-1.25383900493791e-06,0.499999913512202,0.19,48.3157894736842,112.5,68,30,15,0.497,10.815,29,6,1,1
5.75,5.28287131316753e-07,0.500000034995629,0.183,52.1147540983607,123,77.75,29,16,0.529,11.303,25.5,5,2,1
6,1.17986104466931e-06,0.50000007516772,0.176,50.25,115.9,69.5,34,17,0.495,10.497,30,5,1,1
6.25,6.99633285475155e-07,0.500000042925422,0.198,52.1666666666667,121.1,75,32,17,0.505,11.982,32,6,2,1
6.5,-8.93604202496835e-07,0.49999994713311,0.186,48.247311827957,118.9,69,28.5,16,0.519,10.712,27,6,2,1
6.75,1.50103807120642e-07,0.500000008573189,0.171,49.1754385964912,116.6,68,31,15.25,0.506,10.161,23.5,5,2,1
7,-1.75798248939741e-06,0.499999902956909,0.185,50.7297297297297,125,63.25,35,17,0.517,11.141,31,6,2,1
7.25,1.70062818367188e-06,0.50000009082761,0.206,46.1990291262136,106.9,66,28,15,0.531,11.163,30,6,2,1
7.5,-5.63232366165438e-07,0.499999970866833,0.191,46.8586387434555,116.2,64.25,28,15,0.512,10.626,26,6,2,1
7.75,-6.18506656172942e-08,0.499999996898689,0.185,46.3837837837838,103,68,30,17,0.514,10.271,27,5,2,1
8,-7.22855883675927e-07,0.49999996483258,0.189,48.026455026455,105.2,73.25,31,15,0.499,10.712,27,5,1,1
8.25,1.65577469244368e-06,0.500000078224801,0.172,51.203488372093,124,73,32,18,0.5,10.59,26,5.5,1.5,1
8.5,2.01744587747383e-06,0.500000092629028,0.184,44.0326086956522,97.1,55,28,16,0.519,9.865,26,6,2,1
8.75,-2.46143441935259e-07,0.499999989008286,0.179,50.9553072625698,127.2,67,32,17,0.508,10.849,27.5,5,2,1
9,-3.62995865203425e-07,0.499999984223007,0.202,46.509900990099,104.5,66,33,16,0.491,10.982,33,6,1,1
