sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
14.25,-7.53265519062189,0.300000060284887,0.335,279.576119402985,410,381.75,340,210.75,0.574,94.99,372,224,2,1
14.5,-7.66273608533792,0.300000040313672,0.342,288.555555555556,414.3,385,341,248,0.599,99.976,377,270.5,2,1
14.75,-7.79285486091869,0.299999924041843,0.322,273.928571428571,420.3,388,342.5,159,0.585,89.565,378.5,78.5,2,1
15,-7.92299943380387,0.299999956616462,0.315,284.406349206349,420,384,338,228.25,0.582,90.912,374,146,2,1
15.25,-8.05317521510976,0.299999973588396,0.334,282.817365269461,415,386,348,208,0.59,95.806,381,212.5,2,1
15.5,-8.18338127585228,0.299999964360126,0.332,276.066265060241,413,385,333.5,183,0.581,92.991,377,171.5,2,1
15.75,-8.3136133211288,0.299999994753472,0.321,282.86292834891,413,384,337,223.5,0.577,92.146,377,144,2,1
16,-8.44387216246712,0.300000018027825,0.331,265.401812688822,412,375.75,327,95.25,0.586,89.16,366.5,79,2,1
16.25,-8.57415949758168,0.299999973045164,0.339,279.781710914454,410.6,379,331,234,0.578,96.083,374.5,256,2,1
16.5,-8.70447158771916,0.299999917672278,0.331,283.311178247734,416,383.75,330,244.25,0.601,95.203,372,240.5,3,1
16.75,-8.83479835823035,0.300000038462625,0.317,281.640378548896,406,382,335,243,0.594,90.701,371.5,151,2,1
17,-8.96515208794243,0.30000005773187,0.326,272.220858895706,409,379,330.5,183,0.579,90.076,366,125,2,1
17.25,-9.09553527002637,0.299999911004772,0.339,265.330383480826,407.2,374,327,120.75,0.591,91.271,368.5,166.5,2,1
17.5,-9.22592219119119,0.300000095924244,0.33,263.912121212121,399,374,319.5,176,0.596,88.462,363,140.5,2,1
17.75,-9.35634100748915,0.300000033570091,0.33,287.227272727273,414,389,340.5,230,0.57,96.113,378,225.5,2,1
18,-9.48677834598024,0.299999975891683,0.31,278.81935483871,420,385,334,190,0.568,87.763,371.5,52,2,1
18.25,-9.61722747634409,0.300000036040221,0.346,285.910404624277,414,378,337.5,236,0.591,100.254,371.5,263.5,2,1
18.5,-9.74769615349069,0.300000050905243,0.344,272.575581395349,419,385,327.5,170.5,0.617,95.059,376,209.5,2,1
18.75,-9.87818964495703,0.299999912589495,0.33,283.484848484848,419.5,390,337,221,0.577,94.846,373.5,210,2,1
19,-10.0086871687745,0.299999994004663,0.333,267.996996996997,412,374.25,337,175.5,0.567,90.503,368,172,2,1
19.25,-10.1391995483515,0.3000000810978,0.334,276.658682634731,409,383,332,216,0.557,93.656,374,216.5,2,1
19.5,-10.2697354631972,0.300000009301023,0.34,284.405882352941,421,386,336.5,228,0.588,98.048,378,239,3,1
19.75,-10.400282031195,0.300000000813498,0.31,291.206451612903,412,380,338,253,0.563,91.582,368,199.5,2,1
20,-10.5308445661818,0.299999952238306,0.331,273.126888217523,411.4,383.75,331,183,0.586,91.814,374,172,2,1
