Eff_vals_pdf,dt_0wk_conv,dt_5wk_conv,dt_10wk_conv,dt_15wk_conv,dt_20wk_conv,dt_25wk_conv,dt_30wk_conv,dt_35wk_conv,dt_40wk_conv,dt_45wk_conv,dt_50wk_conv
0.496,0.363299310686876,0.487885346016359,0.627846349386652,0.773110424623377,0.910924204045515,1.02701198276895,1.10795299631686,1.1437200072781,1.1297195826592,1.06776124047772,0.965673255289776
0.497,0.364868922102903,0.489701929305605,0.629804423349461,0.77505434364886,0.912664502100254,1.02835418572067,1.10873265219132,1.14383534366331,1.12915286920166,1.06658268631401,0.964026280020831
0.498,0.36644519558606,0.491525116624379,0.631768407725915,0.777002920348536,0.914407867336658,1.02969786759617,1.10951257621464,1.14395041903081,1.12858618736665,1.06540520988299,0.962381926084377
0.499,0.368028171645739,0.493354946126998,0.633738335622777,0.778956181061722,0.916154318778669,1.03104304056066,1.11029277462115,1.14406523441959,1.12801953305781,1.06422880126769,0.960740176694182
0.5,0.369617891097582,0.495191456231263,0.635714240346195,0.780914152251438,0.917903875497989,1.03238971676204,1.1110732535828,1.14417979078731,1.12745290210707,1.06305345051675,0.959101015090061
0.501,0.371214395066305,0.497034685620766,0.637696155403369,0.782876860505445,0.919656556614607,1.03373790833114,1.11185401920928,1.14429408901032,1.12688629027471,1.06187914764437,0.957464424537476
0.502,0.37281772498855,0.498884673247211,0.639684114504236,0.784844332537294,0.92141238129734,1.03508762738184,1.11263507754799,1.14440812988363,1.1263196932493,1.0607058826302,0.955830388327148
0.503,0.374427922615774,0.500741458332769,0.641678151563167,0.78681659518739,0.923171368764356,1.03643888601136,1.11341643458412,1.14452191412094,1.12575310664771,1.05953364541914,0.954198889774647
0.504,0.376045030017162,0.502605080372447,0.643678300700684,0.788793675424048,0.924933538283713,1.03779169630037,1.11419809624067,1.14463544235464,1.12518652601508,1.05836242592128,0.952569912219999
0.505,0.377669089582584,0.50447557913649,0.645684596245184,0.790775600344566,0.926698909173891,1.03914607031319,1.11498006837844,1.14474871513574,1.12461994682475,1.05719221401173,0.950943439027277
0.506,0.37930014402557,0.506352994672803,0.647697072734694,0.792762397176307,0.928467500804321,1.040502020098,1.11576235679605,1.14486173293386,1.12405336447825,1.05602299953049,0.949319453584198
0.507,0.380938236386331,0.508237367309398,0.649715764918622,0.794754093277778,0.930239332595916,1.04185955768694,1.11654496722996,1.14497449613719,1.12348677430522,1.05485477228227,0.947697939301716
0.508,0.382583410034803,0.510128737656869,0.651740707759543,0.796750716139729,0.932014424021611,1.04321869509634,1.11732790535441,1.14508700505244,1.12292017156336,1.05368752203635,0.94607887961361
0.509,0.384235708673733,0.51202714661089,0.653771936434989,0.798752293386249,0.933792794606887,1.04457944432683,1.11811117678144,1.14519925990477,1.12235355143832,1.05252123852642,0.944462257976075
0.51,0.385895176341794,0.513932635354741,0.65580948633926,0.800758852775872,0.935574463930305,1.04594181736353,1.11889478706086,1.1453112608377,1.12178690904366,1.05135591145038,0.942848057867307
0.511,0.387561857416735,0.515845245361857,0.657853393085251,0.802770422202699,0.937359451624039,1.04730582617617,1.11967874168018,1.14542300791307,1.12122023942075,1.05019153047021,0.941236262787088
0.512,0.389235796618571,0.517765018398407,0.659903692506298,0.804787029697512,0.939147777374407,1.04867148271925,1.1204630460646,1.14553450111091,1.12065353753862,1.04902808521174,0.939626856256366
0.513,0.390917039012804,0.519691996525899,0.661960420658036,0.806808703428912,0.940939460922404,1.05003879893214,1.12124770557695,1.14564574032934,1.1200867982939,1.04786556526447,0.938019821816841
0.514,0.392605630013677,0.521626222103808,0.664023613820281,0.808835471704454,0.942734522064232,1.05140778673927,1.12203272551758,1.14575672538446,1.11952001651068,1.04670396018138,0.936415143030537
0.515,0.394301615387476,0.523567737792239,0.66609330849892,0.810867362971789,0.944532980651829,1.05277845805019,1.12281811112437,1.14586745601026,1.11895318694037,1.04554325947873,0.934812803479383
0.516,0.396005041255852,0.525516586554613,0.668169541427831,0.812904405819826,0.946334856593407,1.05415082475975,1.12360386757256,1.14597793185844,1.1183863042616,1.04438345263583,0.933212786764783
0.517,0.397715954099201,0.527472811660378,0.670252349570809,0.814946628979888,0.948140169853976,1.05552489874814,1.12438999997472,1.14608815249827,1.11781936308001,1.04322452909485,0.931615076507195
0.518,0.399434400760059,0.529436456687759,0.672341770123519,0.816994061326882,0.949948940455881,1.05690069188106,1.12517651338062,1.14619811741648,1.11725235792814,1.04206647826058,0.930019656345693
0.519,0.401160428446558,0.531407565526523,0.674437840515459,0.819046731880482,0.951761188479329,1.05827821600981,1.12596341277714,1.14630782601705,1.11668528326524,1.04090928950018,0.928426509937542
0.52,0.402894084735901,0.533386182380786,0.67654059841195,0.82110466980631,0.953576934062922,1.05965748297135,1.12675070308813,1.14641727762107,1.11611813347712,1.039752952143,0.92683562095776
0.521,0.404635417577893,0.535372351771842,0.678650081716137,0.823167904417132,0.955396197404185,1.06103850458841,1.12753838917429,1.14652647146652,1.11555090287592,1.03859745548027,0.925246973098688
0.522,0.406384475298499,0.537366118541023,0.680766328571015,0.825236465174065,0.957218998760103,1.06242129266959,1.12832647583304,1.14663540670811,1.11498358569998,1.03744278876491,0.923660550069542
0.523,0.408141306603449,0.539367527852589,0.682889377361467,0.827310381687781,0.959045358447642,1.0638058590094,1.12911496779837,1.14674408241705,1.11441617611355,1.03628894121123,0.922076335595985
0.524,0.409905960581887,0.541376625196654,0.685019266716332,0.829389683719736,0.960875296844289,1.06519221538837,1.12990386974067,1.14685249758087,1.11384866820669,1.03513590199471,0.920494313419677
0.525,0.411678486710048,0.543393456392133,0.687156035510478,0.831474401183389,0.962708834388573,1.06658037357307,1.13069318626658,1.14696065110315,1.11328105599492,1.03398366025169,0.918914467297834
0.526,0.413458934854997,0.545418067589732,0.689299722866909,0.833564564145447,0.964545991580602,1.06797034531621,1.13148292191879,1.14706854180331,1.11271333341911,1.03283220507913,0.917336781002781
0.527,0.415247355278392,0.547450505274957,0.691450368158883,0.835660202827108,0.96638678898259,1.06936214235666,1.13227308117592,1.14717616841635,1.11214549434514,1.03168152553429,0.915761238321505
0.528,0.417043798640303,0.54949081627117,0.693608011012051,0.837761347605317,0.968231247219385,1.0707557764195,1.13306366845221,1.14728352959262,1.11157753256373,1.0305316106345,0.914187823055205
0.529,0.418848316003063,0.551539047742659,0.695772691306619,0.839868029014028,0.970079386979,1.07215125921609,1.13385468809745,1.14739062389752,1.11100944179011,1.02938244935682,0.912616519018838
0.53,0.42066095883518,0.553595247197765,0.697944449179532,0.841980277745479,0.971931229013143,1.07354860244404,1.13464614439663,1.14749744981125,1.11044121566383,1.02823403063774,0.911047310040666
0.531,0.422481779015272,0.555659462492014,0.700123325026671,0.844098124651471,0.973786794137741,1.07494781778731,1.13543804156984,1.14760400572848,1.10987284774839,1.02708634337291,0.909480179961799
0.532,0.424310828836072,0.557731741831311,0.702309359505081,0.846221600744666,0.975646103233474,1.07634891691615,1.13623038377195,1.14771028995812,1.10930433153105,1.0259393764168,0.907915112635736
0.533,0.426148161008454,0.559812133775143,0.704502593535213,0.848350737199879,0.977509177246299,1.07775191148718,1.13702317509237,1.14781630072293,1.10873566042244,1.02479311858237,0.906352091927906
0.534,0.427993828665527,0.561900687239838,0.706703068303192,0.850485565355393,0.979376037187979,1.07915681314334,1.13781641955486,1.14792203615924,1.10816682775634,1.02364755864079,0.904791101715202
0.535,0.429847885366763,0.563997451501843,0.7089108252631,0.852626116714277,0.981246704136613,1.08056363351392,1.13861012111719,1.14802749431663,1.1075978267893,1.02250268532104,0.903232125885518
0.536,0.431710385102179,0.566102476201048,0.711125906139293,0.854772422945717,0.983121199237155,1.08197238421456,1.1394042836709,1.14813267315756,1.10702865070034,1.02135848730965,0.90167514833728
0.537,0.433581382296564,0.568215811344137,0.713348352928726,0.856924515886349,0.984999543701951,1.08338307684719,1.140198911041,1.14823757055703,1.10645929259063,1.02021495325028,0.90012015297898
0.538,0.435460931813759,0.570337507307988,0.715578207903314,0.859082427541613,0.986881758811256,1.08479572300005,1.14099400698569,1.14834218430219,1.1058897454831,1.01907207174343,0.898567123728698
0.539,0.437349088960983,0.572467614843092,0.717815513612301,0.861246190087107,0.988767865913763,1.08621033424762,1.14178957519602,1.148446512092,1.10532000232216,1.01792983134603,0.897016044513635
0.54,0.439245909493215,0.574606185077028,0.72006031288467,0.863415835869958,0.990657886427131,1.08762692215061,1.14258561929563,1.14855055153682,1.10475005597324,1.01678822057112,0.89546689926963
0.541,0.441151449617618,0.576753269517961,0.722312648831557,0.865591397410195,0.992551841838503,1.08904549825591,1.14338214284033,1.14865430015801,1.10417989922251,1.01564722788745,0.893919671940686
0.542,0.443065765998025,0.578908920058189,0.724572564848705,0.867772907402144,0.994449753705035,1.09046607409654,1.14417914931785,1.14875775538753,1.10360952477644,1.01450684171912,0.892374346478488
0.543,0.444988915759473,0.58107318897772,0.726840104618933,0.869960398715816,0.996351643654418,1.09188866119155,1.14497664214743,1.1488609145675,1.10303892526142,1.01336705044517,0.890830906841916
0.544,0.446920956492788,0.583246128947896,0.729115312114628,0.872153904398327,0.998257533385398,1.093313271046,1.14577462467948,1.14896377494977,1.10246809322335,1.01222784239921,0.889289336996565
0.545,0.448861946259228,0.585427793035048,0.731398231600265,0.874353457675304,1.0001674446683,1.09473991515087,1.14657310019519,1.1490663336955,1.10189702112726,1.01108920586903,0.887749620914253
0.546,0.450811943595181,0.587618234704201,0.733688907634957,0.876559091952326,1.00208139934555,1.09616860498295,1.14737207190617,1.14916858787465,1.10132570135685,1.00995112909618,0.886211742572532
0.547,0.452771007516913,0.589817507822812,0.735987385075012,0.878770840816352,1.0039994193322,1.09759935200478,1.14817154295402,1.14927053446556,1.10075412621405,1.00881360027554,0.884675685954196
0.548,0.45473919752538,0.592025666664553,0.73829370907654,0.880988738037179,1.00592152661643,1.09903216766452,1.14897151640995,1.14937217035444,1.10018228791863,1.00767660755494,0.883141435046781
0.549,0.45671657361109,0.594242765913136,0.74060792509806,0.883212817568899,1.00784774326009,1.10046706339587,1.14977199527432,1.14947349233489,1.0996101786077,1.00654013903472,0.881608973842075
0.55,0.45870319625903,0.596468860666175,0.742930078903155,0.885443113551372,1.00977809139919,1.10190405061792,1.15057298247627,1.14957449710737,1.09903779033523,1.0054041827673,0.880078286335608
0.551,0.460699126453644,0.598704006439099,0.745260216563135,0.887679660311703,1.01171259324446,1.10334314073505,1.1513744808732,1.14967518127871,1.09846511507165,1.00426872675672,0.878549356526159
0.552,0.462704425683876,0.600948259169104,0.747598384459743,0.889922492365745,1.01365127108181,1.10478434513678,1.15217649325037,1.14977554136156,1.09789214470329,1.00313375895822,0.877022168415242
0.553,0.464719155948269,0.603201675219145,0.74994462928787,0.892171644419592,1.01559414727289,1.10622767519763,1.1529790223204,1.14987557377385,1.09731887103191,1.00199926727779,0.875496706006604
0.554,0.466743379760132,0.605464311381984,0.752298998058312,0.894427151371103,1.01754124425558,1.10767314227695,1.1537820707228,1.14997527483824,1.09674528577423,1.00086523957168,0.873972953305709
0.555,0.468777160152761,0.607736224884267,0.754661538100546,0.896689048311421,1.01949258454452,1.1091207577188,1.15458564102346,1.15007464078154,1.09617138056134,0.999731663645958,0.872450894319232
0.556,0.470820560684725,0.610017473390665,0.757032297065538,0.898957370526518,1.0214481907316,1.11057053285175,1.15538973571416,1.15017366773413,1.09559714693825,0.998598527256047,0.870930513054534
0.557,0.472873645445221,0.612308115008041,0.759411322928573,0.901232153498738,1.02340808548649,1.11202247898868,1.15619435721205,1.15027235172937,1.09502257636329,0.99746581810621,0.86941179351915
0.558,0.474936479059486,0.614608208289686,0.76179866399212,0.903513432908362,1.02537229155712,1.11347660742663,1.1569995078591,1.15037068870299,1.0944476602076,0.996333523849085,0.867894719720265
0.559,0.477009126694277,0.616917812239581,0.764194368888722,0.905801244635176,1.02734083177023,1.11493292944658,1.15780518992156,1.15046867449244,1.09387238975456,0.995201632085185,0.866379275664189
0.56,0.479091654063423,0.619236986316723,0.766598486583913,0.908095624760058,1.02931372903185,1.11639145631324,1.1586114055894,1.15056630483632,1.09329675619922,0.994070130362393,0.864865445355833
0.561,0.481184127433434,0.62156579043949,0.769011066379168,0.910396609566572,1.03129100632778,1.11785219927483,1.15941815697575,1.15066357537367,1.0927207506477,0.992939006175454,0.863353212798174
0.562,0.483286613629187,0.623904284990063,0.771432157914884,0.912704235542578,1.03327268672415,1.11931516956286,1.16022544611627,1.15076048164331,1.09214436411661,0.991808246965457,0.861842561991726
0.563,0.485399180039674,0.62625253081889,0.773861811173381,0.915018539381844,1.03525879336787,1.12078037839189,1.1610332749686,1.15085701908322,1.09156758753248,0.99067784011931,0.860333476934006
0.564,0.487521894623829,0.628610589249207,0.776300076481949,0.917339557985689,1.03724934948716,1.12224783695926,1.16184164541172,1.15095318302977,1.09099041173107,0.989547772969207,0.858825941618989
0.565,0.489654825916418,0.630978522081606,0.778747004515905,0.919667328464615,1.03924437839203,1.12371755644485,1.1626505592453,1.15104896871708,1.0904128274568,0.988418032792089,0.857319940036571
0.566,0.491798043034004,0.63335639159866,0.781202646301705,0.922001888139972,1.04124390347477,1.12518954801081,1.16346001818911,1.15114437127628,1.08983482536211,0.987288606809097,0.855815456172024
0.567,0.493951615680984,0.635744260569592,0.783667053220066,0.924343274545618,1.04324794821048,1.12666382280126,1.1642700238823,1.15123938573475,1.08925639600676,0.986159482185014,0.854312474005449
0.568,0.496115614155707,0.638142192255009,0.786140277009132,0.926691525429607,1.04525653615752,1.12814039194201,1.16508057788276,1.1513340070154,1.08867752985723,0.985030646027704,0.852810977511219
0.569,0.498290109356654,0.640550250411676,0.788622369767667,0.929046678755875,1.047269690958,1.12961926654025,1.16589168166643,1.15142822993593,1.088098217286,0.983902085387544,0.851310950657435
0.57,0.50047517278871,0.642968499297363,0.791113383958285,0.931408772705952,1.04928743633831,1.13110045768426,1.16670333662658,1.151522049208,1.08751844857089,0.982773787256837,0.84981237740536
0.571,0.502670876569495,0.645397003675724,0.793613372410702,0.933777845680675,1.05130979610956,1.13258397644303,1.16751554407312,1.15161545943644,1.08693821389433,0.981645738569236,0.848315241708862
0.572,0.504877293435798,0.647835828821257,0.79612238832504,0.936153936301923,1.05333679416807,1.13406983386596,1.16832830523181,1.15170845511852,1.0863575033427,0.98051792619914,0.846819527513852
0.573,0.507094496750062,0.650285040524301,0.798640485275142,0.938537083414359,1.05536845449587,1.13555804098252,1.16914162124359,1.15180103064301,1.08577630690555,0.979390336961097,0.845325218757715
0.574,0.509322560506973,0.652744705096102,0.801167717211937,0.940927326087187,1.05740480116115,1.13704860880184,1.16995549316374,1.15189318028944,1.08519461447489,0.978262957609192,0.843832299368737
0.575,0.511561559340121,0.655214889373933,0.803704138466836,0.943324703615922,1.05944585831876,1.13854154831238,1.17076992196112,1.15198489822719,1.08461241584446,0.977135774836428,0.84234075326554
0.576,0.513811568528742,0.657695660726276,0.806249803755159,0.945729255524174,1.06149165021067,1.14003687048151,1.1715849085174,1.15207617851465,1.08402970070893,0.976008775274095,0.840850564356493
0.577,0.516072664004551,0.660187087058058,0.808804768179597,0.948141021565444,1.06354220116641,1.14153458625513,1.1724004536262,1.15216701509828,1.08344645866315,0.974881945491141,0.83936171653914
0.578,0.518344922358655,0.662689236815959,0.811369087233716,0.950560041724934,1.06559753560358,1.14303470655725,1.17321655799228,1.1522574018118,1.08286267920137,0.973755271993523,0.837874193699615
0.579,0.520628420848554,0.665202178993768,0.813942816805489,0.952986356221369,1.0676576780283,1.14453724228955,1.17403322223068,1.15234733237516,1.08227835171641,0.972628741223556,0.836387979712047
0.58,0.522923237405234,0.667725983137812,0.816526013180869,0.955420005508836,1.06972265303564,1.14604220433097,1.17485044686588,1.15243680039371,1.08169346549888,0.971502339559249,0.834903058437979
0.581,0.525229450640341,0.670260719352442,0.819118733047397,0.957861030278632,1.0717924853101,1.14754960353721,1.17566823233087,1.15252579935715,1.08110800973631,0.970376053313643,0.833419413725766
0.582,0.527547139853458,0.672806458305591,0.821721033497851,0.960309471461132,1.07386719962607,1.14905945074032,1.17648657896627,1.15261432263863,1.08052197351236,0.969249868734121,0.831937029409975
0.583,0.529876385039455,0.675363271234383,0.824332972033924,0.96276537022766,1.07594682084825,1.15057175674815,1.17730548701943,1.15270236349373,1.07993534580593,0.96812377200173,0.83045588931079
0.584,0.532217266895955,0.677931229950825,0.826954606569949,0.96522876799239,1.07803137393211,1.15208653234392,1.17812495664345,1.15278991505946,1.0793481154903,0.966997749230479,0.828975977233397
0.585,0.534569866830877,0.680510406847552,0.829585995436658,0.967699706414242,1.08012088392433,1.15360378828566,1.17894498789624,1.15287697035325,1.07876027133226,0.965871786466634,0.827497276967379
