Eff_vals_pdf,dt_0wk_conv,dt_5wk_conv,dt_10wk_conv,dt_15wk_conv,dt_20wk_conv,dt_25wk_conv,dt_30wk_conv,dt_35wk_conv,dt_40wk_conv,dt_45wk_conv,dt_50wk_conv
0.04,0,0,0.02,0.0599999999999999,0.0999999999999999,0.19,0.39,0.5,0.779999999999999,1.29,2.21
0.041,0,0,0.03,0.05,0.13,0.15,0.3,0.539999999999999,0.929999999999999,1.27,1.86
0.042,0,0,0.03,0.0899999999999999,0.0599999999999999,0.17,0.42,0.529999999999999,0.849999999999999,1.18,1.95
0.043,0,0.0200000000000001,0.0300000000000002,0.0100000000000001,0.120000000000001,0.110000000000001,0.300000000000002,0.560000000000003,0.720000000000004,1.38000000000001,1.94000000000001
0.044,0,0,0.00999999999999999,0.0799999999999999,0.14,0.19,0.31,0.48,0.879999999999999,1.43,1.81
0.045,0.00999999999999999,0.00999999999999999,0.02,0.0599999999999999,0.11,0.14,0.34,0.49,0.909999999999999,1.14,1.93
0.046,0.02,0.00999999999999999,0.03,0.0899999999999999,0.0699999999999999,0.21,0.4,0.609999999999999,0.669999999999999,1.26,1.72
0.047,0.00999999999999999,0,0.04,0.0699999999999999,0.0899999999999999,0.26,0.39,0.619999999999999,0.919999999999999,1.51,1.83
0.048,0,0,0.02,0.0599999999999999,0.15,0.18,0.35,0.699999999999999,0.849999999999999,1.48,1.92
0.049,0,0,0.03,0.00999999999999999,0.15,0.3,0.25,0.659999999999999,0.989999999999999,1.39,2.09
0.05,0,0.00999999999999999,0.03,0.04,0.12,0.17,0.42,0.679999999999999,0.949999999999999,1.35,1.62
0.051,0.00999999999999999,0.00999999999999999,0.04,0.0699999999999999,0.16,0.11,0.29,0.51,1.08,1.35,1.74
0.052,0,0.0300000000000002,0.0300000000000002,0.0800000000000005,0.0800000000000005,0.240000000000001,0.300000000000002,0.590000000000004,1.01000000000001,1.67000000000001,2.14000000000001
0.053,0,0.02,0.03,0.0799999999999999,0.16,0.24,0.42,0.619999999999999,1.03,1.67,1.56
0.054,0,0.02,0.03,0.0699999999999999,0.0699999999999999,0.19,0.43,0.699999999999999,1.07,1.29,1.85
0.055,0,0.03,0.0699999999999999,0.0999999999999999,0.18,0.36,0.34,0.769999999999999,0.869999999999999,1.57,1.82
0.056,0,0.02,0.04,0.04,0.14,0.27,0.48,0.539999999999999,0.919999999999999,1.51,1.97
0.057,0.02,0.02,0.02,0.0999999999999999,0.0699999999999999,0.25,0.39,0.539999999999999,1.09,1.49,2.03
0.058,0,0.00999999999999999,0.04,0.12,0.12,0.22,0.35,0.729999999999999,1.04,1.36,1.93
0.059,0.0100000000000001,0.0100000000000001,0.0900000000000006,0.0900000000000006,0.120000000000001,0.240000000000001,0.400000000000002,0.610000000000004,0.980000000000006,1.56000000000001,2.18000000000001
0.06,0,0.00999999999999999,0.05,0.0599999999999999,0.13,0.3,0.47,0.669999999999999,0.909999999999999,1.44,1.92
0.061,0.00999999999999999,0.04,0.0599999999999999,0.05,0.21,0.28,0.43,0.539999999999999,0.989999999999999,1.24,1.94
0.062,0,0.03,0.04,0.0799999999999999,0.18,0.28,0.49,0.709999999999999,1.19,1.46,2.13
0.063,0,0.02,0.04,0.0799999999999999,0.16,0.33,0.529999999999999,0.599999999999999,1.17,1.46,1.84
0.064,0,0.02,0.03,0.14,0.17,0.22,0.539999999999999,0.849999999999999,1.01,1.55,1.95
0.065,0,0.04,0.03,0.13,0.23,0.23,0.49,0.59,1.08,1.45,2.03
0.066,0.00999999999999999,0,0.02,0.0799999999999999,0.11,0.32,0.51,0.829999999999999,1.08,1.3,1.93
0.067,0.00999999999999999,0.02,0.05,0.13,0.0899999999999999,0.22,0.36,0.759999999999999,1.1,1.29,1.98
0.068,0.02,0.02,0.0699999999999999,0.0799999999999999,0.12,0.22,0.529999999999999,0.879999999999999,1.14,1.51,1.9
0.069,0.02,0.03,0.04,0.05,0.21,0.26,0.42,0.769999999999999,1.35,1.51,1.73
0.07,0.00999999999999999,0.03,0.0799999999999999,0.15,0.2,0.33,0.49,0.839999999999999,1.25,1.3,2.05
0.071,0.02,0.02,0.0599999999999999,0.05,0.15,0.37,0.51,0.829999999999999,1.02,1.46,1.78
