Eff_vals_pdf,dt_0wk_conv,dt_10wk_conv,dt_30wk_conv,dt_50wk_conv
0.171,0.05,0.15,0.809999999999999,1.49
0.172,0.0999999999999999,0.13,0.839999999999999,1.79
0.173,0.00999999999999999,0.15,0.789999999999999,1.62
0.174,0.0699999999999999,0.12,0.789999999999999,1.74
0.175,0.0400000000000011,0.270000000000007,0.75000000000002,1.88000000000005
0.176,0.0899999999999999,0.17,0.779999999999999,1.51
0.177,0.0799999999999999,0.25,0.809999999999999,1.59
0.178,0.05,0.15,0.829999999999999,1.6
0.179,0.11,0.19,0.789999999999999,1.8
0.18,0.0599999999999999,0.18,0.899999999999999,1.72
0.181,0.0599999999999999,0.16,0.849999999999999,1.85
0.182,0.0599999999999999,0.15,0.979999999999999,1.79
0.183,0.05,0.18,0.739999999999999,1.8
0.184,0.05,0.21,0.799999999999999,1.63
0.185,0.05,0.17,0.909999999999999,1.59
0.186,0.0699999999999999,0.15,0.839999999999999,1.6
0.187,0.0799999999999999,0.21,0.899999999999999,1.83
0.188,0.0699999999999999,0.22,0.699999999999999,1.56
0.189,0.0699999999999999,0.2,0.729999999999999,1.84
0.19,0.0799999999999999,0.2,0.749999999999999,1.51
0.191,0.2,0.13,0.959999999999999,1.49
0.192,0.05,0.22,0.669999999999999,1.7
0.193,0.03,0.23,0.939999999999999,1.4
0.194,0.11,0.26,0.709999999999999,1.59
0.195,0.0599999999999999,0.17,0.769999999999999,1.71
0.196,0.0799999999999999,0.3,0.699999999999999,1.45
0.197,0.05,0.15,0.619999999999999,1.68
0.198,0.04,0.33,0.749999999999999,1.64
0.199,0.05,0.19,0.889999999999999,1.52
0.2,0.12,0.22,0.859999999999999,1.69
0.201,0.13,0.17,0.779999999999999,1.78
0.202,0.0899999999999999,0.24,0.939999999999999,1.59
0.203,0.11,0.21,0.909999999999999,1.66
0.204,0.0799999999999999,0.2,0.859999999999999,1.61
0.205,0.0899999999999999,0.29,0.719999999999999,1.67
0.206,0.0699999999999999,0.25,0.849999999999999,1.65
0.207,0.0699999999999999,0.2,0.749999999999999,1.49
0.208,0.0500000000000013,0.180000000000005,0.800000000000022,1.57000000000004
0.209,0.0799999999999999,0.18,0.729999999999999,1.64
0.21,0.0799999999999999,0.2,0.809999999999999,1.4
0.211,0.13,0.28,0.729999999999999,1.68
0.212,0.15,0.24,0.959999999999999,1.72
0.213,0.05,0.25,0.709999999999999,1.71
0.214,0.0699999999999999,0.26,0.829999999999999,1.42
0.215,0.11,0.25,0.859999999999999,1.52
