Eff_vals_pdf,dt_0wk_conv,dt_10wk_conv,dt_30wk_conv,dt_50wk_conv
0.06,0.0120775977810777,0.047544402273701,0.434460796204865,1.96314865150082
0.061,0.0124241466381607,0.0486504814558264,0.439887714727087,1.96674436266211
0.062,0.0127735970013105,0.0497588679345325,0.445244532925418,1.97005381752859
0.063,0.0131258992834098,0.0508694326465608,0.45053246300572,1.97308899951183
0.064,0.0134810055120925,0.0519820527964101,0.45575269792065,1.97586132616775
0.065,0.0138388692718101,0.0530966115403961,0.460906411099314,1.97838168059926
0.066,0.0141994456483274,0.0542129976890329,0.465994756260998,1.98066044083575
0.067,0.0145626911755402,0.0553311054265167,0.471018867302395,1.98270750733755
0.068,0.0149285637845092,0.0564508340461884,0.475979858249021,1.98453232876164
0.069,0.0152970227546092,0.057572087700932,0.480878823262558,1.98614392611379
0.07,0.0156680286666979,0.0586947751675446,0.485716836696845,1.98755091540212
0.071,0.0160415433582127,0.0598188096241844,0.490494953196061,1.98876152889815
0.072,0.016417529880107,0.0609441084400633,0.495214207829406,1.98978363510282
0.073,0.0167959524555433,0.0620705929766181,0.499875616257212,1.99062475750731
0.074,0.0171767764402623,0.0631981883994419,0.504480174924047,1.99129209223182
0.075,0.0175599682845535,0.064326823500312,0.509028861274812,1.99179252461866
0.076,0.0179454954967535,0.0654564305286939,0.513522633990378,1.99213264485033
0.077,0.0183333266082032,0.0665869450321478,0.517962433239631,1.99231876265809
0.078,0.0187234311395998,0.0677183057050999,0.522349180945203,1.99235692118131
0.079,0.0191157795686784,0.0688504542454792,0.526683781060459,1.99225291003353
0.08,0.0195103432991663,0.0699833352187523,0.530967119855602,1.99201227762711
0.081,0.0199070946309521,0.071116895928925,0.535200066211003,1.99164034280438
