x_normal,Normal_pdf_mu_-1,Normal_pdf_mu_0,Normal_pdf_mu_1
-6.891,8.30912763987303e-05,8.30912763987303e-05,8.30912763987303e-05
-6.89,8.32553460986292e-05,8.32553460986293e-05,8.32553460986293e-05
-6.889,8.34197189110158e-05,8.34197189110156e-05,8.34197189110156e-05
-6.888,8.35843953520635e-05,8.35843953520635e-05,8.35843953520635e-05
-6.887,8.37493759387378e-05,8.37493759387379e-05,8.37493759387379e-05
-6.886,8.39146611887959e-05,8.39146611887957e-05,8.39146611887957e-05
-6.885,8.40802516207877e-05,8.40802516207877e-05,8.40802516207877e-05
-6.884,8.4246147754058e-05,8.4246147754058e-05,8.4246147754058e-05
-6.883,8.44123501087469e-05,8.44123501087468e-05,8.44123501087468e-05
-6.882,8.45788592057899e-05,8.45788592057899e-05,8.45788592057899e-05
-6.881,8.47456755669209e-05,8.47456755669209e-05,8.47456755669209e-05
-6.88,8.49127997146716e-05,8.49127997146718e-05,8.49127997146718e-05
-6.879,8.5080232172374e-05,8.5080232172374e-05,8.5080232172374e-05
-6.878,8.5247973464159e-05,8.5247973464159e-05,8.5247973464159e-05
-6.877,8.54160241149606e-05,8.54160241149607e-05,8.54160241149607e-05
-6.876,8.55843846505151e-05,8.55843846505149e-05,8.55843846505149e-05
-6.875,8.57530555973617e-05,8.57530555973617e-05,8.57530555973617e-05
-6.874,8.59220374828453e-05,8.59220374828454e-05,8.59220374828454e-05
-6.873,8.60913308351163e-05,8.60913308351162e-05,8.60913308351162e-05
-6.872,8.62609361831314e-05,8.62609361831314e-05,8.62609361831314e-05
-6.871,8.64308540566561e-05,8.64308540566561e-05,8.64308540566561e-05
-6.87,8.66010849862645e-05,8.66010849862644e-05,8.66010849862644e-05
-6.869,8.67716295033403e-05,8.67716295033403e-05,8.67716295033403e-05
-6.868,8.69424881400789e-05,8.69424881400789e-05,8.69424881400789e-05
-6.867,8.71136614294878e-05,8.7113661429488e-05,8.7113661429488e-05
-6.866,8.72851499053878e-05,8.72851499053878e-05,8.72851499053878e-05
-6.865,8.74569541024132e-05,8.74569541024132e-05,8.74569541024132e-05
-6.864,8.76290745560148e-05,8.76290745560149e-05,8.76290745560149e-05
-6.863,8.78015118024594e-05,8.78015118024594e-05,8.78015118024594e-05
-6.862,8.79742663788307e-05,8.79742663788307e-05,8.79742663788307e-05
